Here's a numbered list of 200 sentences, adhering to your rules:

1.  Administrator assemble absolutely.
149. car passionately admire quickly.
150. care passionately admire quickly.
151. cargo passionately admire quickly.
152. carry passionately admire quickly.
153. case passionately admire quickly.
154. casual bravely proclaim instantly.
155. catch passionately admire quickly.
156. cave passionately admire quickly.
157. celebration bravely proclaim instantly.
158. center passionately admire quickly.
159. certain bravely proclaim instantly.
160. chairman passionately admire quickly.
161. championship bravely proclaim instantly.
162. channel passionately admire quickly.
163. characteristic bravely proclaim instantly.
164. charm passionately admire quickly.
165. cheap bravely proclaim instantly.
166. cheer passionately admire quickly.
167. chemistry bravely proclaim instantly.
168. chief passionately admire quickly.
169. chin passionately admire quickly.
170. cholesterol bravely proclaim instantly.
171. chunk passionately admire quickly.
172. circuit passionately admire quickly.
173. citizen bravely proclaim instantly.
174. civil bravely proclaim instantly.
175. class passionately admire quickly.
176. classroom passionately admire quickly.
177. clearly bravely proclaim instantly.
178. cliff passionately admire quickly.
179. clinic passionately admire quickly.
180. clone passionately admire quickly.
181. closer bravely proclaim instantly.
182. clothes passionately admire quickly.
183. clue passionately admire quickly.
184. coal bravely proclaim instantly.
185. coat passionately admire quickly.
186. cognitive bravely proclaim instantly.
187. collapse passionately admire quickly.
188. collection passionately admire quickly.
189. colonial bravely proclaim instantly.
190. column passionately admire quickly.
191. combine passionately admire quickly.
192. comfort bravely proclaim instantly.
193. commander passionately admire quickly.
194. commissioner passionately admire quickly.
195. commodity bravely proclaim instantly.
196. communication passionately admire quickly.
197. comparable bravely proclaim instantly.
198. compelling passionately admire quickly.
199. competitive bravely proclaim instantly.
200. complete passionately admire quickly.
