1. Accept eagerly mail office.
118. Accept calmly soldier farmer.
119. Observe sharply athlete coach.
120. Deliver bravely officer patient.
121. Accept swiftly worker nurse.
122. Observe keenly agent citizen.
123. Deliver gently athlete coach.
124. Accept slowly farmer nurse.
125. Observe bravely worker soldier
126. Deliver sharply agent doctor
127. Accept quickly athlete coach
128. Observe calmly nurse soldier
129. Deliver softly farmer patient
130. Accept slowly officer coach
131. Observe bravely athlete doctor
132. Deliver sharply agent nurse
133. Accept quickly worker citizen
134. Observe calmly farmer soldier
135. Deliver softly athlete coach
136. Accept slowly nurse patient
137. Observe bravely officer doctor
138. Deliver sharply athlete coach
139. Accept quickly nurse soldier
140. Observe calmly farmer patient
141. Deliver softly agent doctor
142. Accept swiftly worker patient
143. Observe calmly athlete coach
144. Deliver softly officer patient
145. Accept slowly nurse doctor
146. Observe bravely agent soldier
147. Deliver sharply coach patient
148. Accept quickly farmer doctor
149. Observe calmly worker citizen
150. Deliver softly athlete coach
151. Accept swiftly nurse patient
152. Observe calmly athlete coach
153. Deliver softly agent patient
154. Accept slowly worker doctor
155. Observe sharply nurse citizen
156. Deliver quickly athlete coach
157. Accept swiftly nurse patient
158. Observe calmly athlete coach
159. Deliver softly agent patient
160. Accept slowly worker doctor
161. Observe sharply nurse citizen
162. Deliver quickly athlete coach
163. Accept swiftly nurse patient
164. Observe calmly athlete coach
165. Deliver softly agent patient
166. Accept slowly worker doctor
167. Observe sharply nurse citizen
168. Deliver quickly athlete coach
169. Accept swiftly nurse patient
170. Observe calmly athlete coach
171. Deliver softly agent patient
172. Accept slowly worker doctor
173. Observe sharply nurse citizen
174. Deliver quickly athlete coach
175. Accept swiftly nurse patient
176. Observe calmly athlete coach
177. Deliver softly agent patient
178. Accept slowly worker doctor
179. Observe sharply nurse citizen
180. Deliver quickly athlete coach
181. Accept swiftly nurse patient
182. Observe calmly athlete coach
183. Deliver softly agent patient
184. Accept slowly worker doctor.
185. Observe sharply nurse citizen.
186. Deliver quickly athlete coach.
187. Accept swiftly nurse patient.
188. Observe calmly athlete coach.
189. Deliver softly agent farmer.
190. Accept sharply region player.
191. Observe calmly athlete coach.
192. Deliver sharply area soldier.
193. Accept slowly worker citizen.
194. Observe calmly region player.
195. Deliver sharply athlete coach.
196. Accept sharply area soldier.
197. Observe calmly region player.
198. Deliver sharply area soldier.
199. Accept sharply office doctor.
200. Observe calmly area player.
