1. Iraqi  threatened  average  boat.
75. mask  revealed  seven  weapon.
76. medium  revealed  several  weapon.
77. mill  revealed  dozen  window.
78. modify  revealed  seven  weapon.
79. move  revealed  several  weapon.
80. native  revealed  dozen  window.
81. news  revealed  seven  weapon.
82. novel  revealed  several  weapon.
83. off  revealed  dozen  window.
84. operation  revealed  seven  weapon.
85. ought  revealed  several  weapon.
86. package  revealed  dozen  window.
87. partly  revealed  seven  weapon.
88. penalty  revealed  several  weapon.
89. philosophy  revealed  dozen  window.
90. place  revealed  seven  weapon.
91. pole  revealed  several  weapon.
92. post  revealed  dozen  window.
93. premise  revealed  seven  weapon.
94. priority  revealed  several  weapon.
95. progress  revealed  dozen  window.
96. provide  revealed  seven  weapon.
97. quality  revealed  several  weapon.
98. random  revealed  dozen  window.
99. reason  revealed  seven  weapon.
100. refugee  revealed  several  weapon.
101. relieve  revealed  dozen  window.
102. republican  revealed  seven  weapon.
103. restrict  revealed  several  weapon.
104. right  revealed  dozen  window.
105. row  revealed  seven  weapon.
106. sanction  revealed  several  weapon.
107. scream  revealed  dozen  window.
108. self  revealed  seven  weapon.
109. several  revealed  several  weapon.
110. ship  revealed  dozen  window.
111. sigh  revealed  seven  weapon.
112. size  revealed  several  weapon.
113. snap  revealed  dozen  window.
114. something  revealed  seven  weapon.
115. specify  revealed  several  weapon.
116. square  revealed  dozen  window.
117. steak  revealed  seven  weapon.
118. straw  revealed  several  weapon.
119. substantial  revealed  dozen  window.
120. superior  revealed  seven  weapon.
121. sustain  revealed  several  weapon.
122. tall  revealed  dozen  window.
123. ten  revealed  seven  weapon.
124. theme  revealed  several  weapon.
125. threshold  revealed  dozen  window.
126. tolerate  revealed  seven  weapon.
127. trading  revealed  several  weapon.
128. treat  revealed  dozen  window.
129. turn  revealed  seven  weapon.
130. unexpected  revealed  several  weapon.
131. useful  revealed  dozen  window.
132. vessel  revealed  seven  weapon.
133. voting  revealed  several  weapon.
134. wealthy  revealed  dozen  window.
135. wherever  revealed  seven  weapon.
136. wire  revealed  several  weapon.
137. wrap  revealed  dozen  window.
138. Ironic  examined  native  house.
139. Thanksgiving  considered  dozen  window.
140. accounting  showed  several  weapon.
141. adjustment  revealed  native  house.
142. agency  examined  seven  weapon.
143. alliance  revealed  dozen  window.
144. anger  explained  several  weapon.
145. appearance  examined  native  house.
146. arrow  revealed  seven  weapon.
147. assure  examined  dozen  window.
148. average  explained  several  weapon.
149. barely  examined  native  house.
150. bedroom  revealed  seven  weapon.
151. bias  examined  dozen  window.
152. bloody  revealed  several  weapon.
153. bowl  examined  native  house.
154. brown  revealed  seven  weapon.
155. button  examined  dozen  window.
156. car  revealed  several  weapon.
157. celebration  explained  native  house.
158. cheap  revealed  seven  weapon.
159. citizen  examined  dozen  window.
160. closer  revealed  several  weapon.
161. colonial  examined  native  house.
162. comparable  revealed  seven  weapon.
163. conception  examined  dozen  window.
164. consequently  revealed  several  weapon.
165. context  examined  native  house.
166. cooperative  revealed  seven  weapon.
167. country  explained  dozen  window.
168. criticism  revealed  several  weapon.
169. cycle  examined  native  house.
170. decade  revealed  seven  weapon.
171. democracy  explained  dozen  window.
172. desk  revealed  several  weapon.
173. differ  revealed  native  house.
174. disclose  examined  seven  weapon.
175. divide  explained  dozen  window.
176. dragon  revealed  several  weapon.
177. duty  examined  native  house.
178. educate  revealed  seven  weapon.
179. eleven  explained  dozen  window.
180. enemy  revealed  several  weapon.
181. equal  revealed  native  house.
182. every  revealed  seven  weapon.
183. executive  examined  dozen  window.
184. export  revealed  several  weapon.
185. faith  examined  native  house.
186. feed  revealed  seven  weapon.
187. finding  explained  dozen  window.
188. floor  revealed  several  weapon.
189. former  examined  native  house.
190. friend  revealed  seven  weapon.
191. game  explained  dozen  window.
192. giant  revealed  several  weapon.
193. graduation  revealed  native  house.
194. guarantee  examined  seven  weapon.
195. harassment  revealed  dozen  window.
196. height  revealed  several  weapon.
197. his  examined  native  house.
198. hostile  revealed  seven  weapon.
199. identify  examined  dozen  window.
200. impression  revealed  several  weapon.
