1. Turn, hostile, square, enemy
121. Assume, obvious, detail, concern
122. Distinguish, stable, concern, element
123. Assume, obvious, element, action
124. Distinguish, stable, action, detail
125. Assume, obvious, detail, concern
126. Distinguish, stable, concern, element
127. Assume, obvious, element, action
128. Distinguish, stable, action, detail
129. Assume, obvious, detail, concern
130. Distinguish, stable, concern, element
131. Assume, obvious, element, action
132. Distinguish, stable, action, detail
133. Assume, obvious, detail, concern
134. Distinguish, stable, concern, element
135. Assume, obvious, element, action
136. Distinguish, stable, action, detail
137. Assume, obvious, detail, concern
138. Distinguish, stable, concern, element
139. Assume, obvious, element, action
140. Distinguish, stable, action, detail
141. Assume, obvious, detail, concern
142. Distinguish, stable, concern, element
143. Assume, obvious, element, action
144. Distinguish, stable, action, detail
145. Assume, obvious, detail, concern
146. Distinguish, stable, concern, element
147. Assume, obvious, element, action
148. Distinguish, stable, action, detail
149. Assume, obvious, detail, concern
150. Distinguish, stable, concern, element
151. Assume, obvious, element, action
152. Distinguish, stable, action, detail
153. Assume, obvious, detail, concern
154. Distinguish, stable, concern, element
155. Assume, obvious, element, action
156. Distinguish, stable, action, detail
157. Assume, obvious, detail, concern
158. Distinguish, stable, concern, element
159. Assume, obvious, element, action
160. Distinguish, stable, action, detail
161. Assume, obvious, detail, concern
162. Distinguish, stable, concern, element
163. Assume, obvious, element, action
164. Distinguish, stable, action, detail
165. Assume, obvious, detail, concern
166. Distinguish, stable, concern, element
167. Assume, obvious, element, action
168. Distinguish, stable, action, detail
169. Assume, obvious, detail, concern
170. Distinguish, stable, concern, element
171. Assume, obvious, element, action
172. Distinguish, stable, action, detail
173. Assume, obvious, detail, concern
174. Distinguish, stable, concern, element
175. Assume, obvious, element, action
176. Distinguish, stable, action, detail
177. Assume, obvious, detail, concern
178. Distinguish, stable, concern, element
179. Assume, obvious, element, action
180. Distinguish, stable, action, detail
181. Assume, obvious, detail, concern
182. Distinguish, stable, concern, element
183. Assume, obvious, element, action
184. Distinguish, stable, action, detail
185. Assume, obvious, detail, concern
186. Distinguish, stable, concern, element
187. Assume, obvious, element, action
188. Distinguish, stable, action, detail
189. Assume, obvious, detail, concern
190. Distinguish, stable, concern, element
191. Assume, obvious, element, action
192. Distinguish, stable, action, detail
193. Assume, obvious, detail, concern
194. Distinguish, stable, concern, element
195. Assume, obvious, element, action
196. Distinguish, stable, action, detail
197. Assume, obvious, detail, concern
198. Distinguish, stable, concern, element
199. Assume, obvious, element, action
200. Distinguish, stable, action, detail
