Okay, here are 200 sentences following your strict rules and structure:

1.  Move  serious  citizen  country
85. Inspect  giant  column  reason
86. Move  happy  window  reason
87. Inspect  giant  reason  window
88. Provide  strange  column  reason
89. Offer  happy  column  reason
90. Inspect  giant  window  reason
91. Move  strange  reason  window
92. Inspect  happy  column  reason
93. Provide  happy  column  reason
94. Offer  strange  window  reason
95. Inspect  giant  reason  window
96. Move  happy  column  column
97. Inspect  strange  reason  window
98. Provide  happy  window  reason
99. Offer  giant  window  reason
100. Inspect  happy  window  reason
101. Move  strange  reason  window
102. Inspect  happy  column  reason
103. Provide  giant  window  reason
104. Offer  happy  column  reason
105. Inspect  giant  window  reason
106. Move  strange  reason  window
107. Inspect  happy  column  reason
108. Provide  giant  reason  column
109. Offer  strange  window  reason
110. Inspect  strange  column  reason
111. Move  happy  window  column
112. Inspect  strange  window  reason
113. Provide  happy  column  reason
114. Offer  happy  window  reason
115. Inspect  strange  window  reason
116. Move  giant  column  reason
117. Inspect  strange  window  reason
118. Provide  happy  reason  column
119. Offer  happy  column  reason
120. Inspect  strange  window  reason
121. Move  strange  column  reason
122. Inspect  happy  window  reason
123. Provide  happy  window  reason
124. Offer  strange  reason  window
125. Inspect  happy  column  reason
126. Move  giant  reason  column 
127. Inspect  strange  reason  column
128. Provide  happy  window  reason
129. Offer  strange  window  reason
130. Inspect  giant  reason  column
131. Move  happy  reason  window
132. Inspect  strange  reason  column
133. Provide  happy  window  reason
134. Offer  giant  window  reason
135. Inspect  strange  window  reason
136. Move  giant  column  reason
137. Inspect  strange  window  reason
138. Provide  happy  window  reason
139. Offer  giant  reason  window
140. Inspect  strange  window  reason
141. Move  happy  window  reason
142. Inspect  giant  reason  window
143. Provide  strange  reason  column
144. Offer  happy  window  reason
145. Inspect  giant  window  reason
146. Move  happy  window  column
147. Inspect  strange  reason  window
148. Provide  happy  column  reason
149. Offer  giant  window  reason
150. Inspect  strange  window  reason
151. Move  giant  column  reason
152. Inspect  happy  window  reason
153. Provide  strange  reason  window
154. Offer  happy  column  reason
155. Inspect  giant  window  reason
156. Move  happy  window  reason
157. Inspect  strange  reason  window
158. Provide  giant  window  reason
159. Offer  strange  column  reason
160. Inspect  happy  reason  window
161. Move  giant  column  reason
162. Inspect  strange  window  reason
163. Provide  happy  reason  column
164. Offer  giant  window  reason
165. Inspect  strange  window  reason
166. Move  happy  reason  column
167. Inspect  giant  reason  window
168. Provide  strange  window  reason
169. Offer  happy  reason  column
170. Inspect  giant  window  reason
171. Move  giant  column  reason
172. Inspect  strange  reason  window
173. Provide  happy  reason  column
174. Offer  happy  reason  window
175. Inspect  giant  window  reason
176. Move  happy  window  reason
177. Inspect  strange  reason  column
178. Provide  happy  column  reason
179. Offer  giant  reason  window
180. Inspect  strange  window  reason
181. Move  giant  column  reason
182. Inspect  happy  window  reason
183. Provide  strange  reason  column
184. Offer  giant  reason  window
185. Inspect  happy  window  reason
186. Move  happy  reason  column
187. Inspect  strange  reason  window
188. Provide  giant  reason  window
189. Offer  strange  window  reason
190. Inspect  happy  window  reason
191. Move  giant  column  reason
192. Inspect  strange  window  reason
193. Provide  happy  reason  column
194. Offer  giant  reason  window
195. Inspect  strange  window  reason
196. Move  strange  column  window
197. Inspect  happy  reason  window
198. Provide  giant  window  reason
199. Offer  happy  window  reason
200. Inspect  strange  window  reason
