Here are 200 sentences with exactly 4 words, following the structure Verb + Adjective + Noun + Noun:

1. Make average car desk
95. Invite friendly substantial game
96. Prioritize severely national premise
97. Unite barely equal post
98. Impose substantially hostile criticism
99. Modify slightly average height
100. Use useful random size

Let me continue with the rest of the sentences.

101. Authorize friendly every interaction
102. Postpone partly every conception
103. Specify exactly ten pole
104. Snap significant average straw
105. Make useful substantial vessel
106. Lend barely significant penalty
107. Guarantee worthy executive duty
108. Tolerate severely hostile context
109. Inspire slightly lawful philosophy
110. Identify substantially brown novel

I will continue with the rest of the sentences.

111. Treat friendly native country
112. Educate equally significant citizen
113. Invite friendly substantial celebration
114. Prioritize severely national sanction
115. Unite barely equal inspector
116. Impose substantially hostile harassment
117. Modify slightly average size
118. Use useful random arrow
119. Postpone partly every news
120. Specify exactly ten desk

Let me continue with the rest of the sentences.

121. Authorize friendly every alliance
122. Snap significant average straw
123. Make useful substantial mill
124. Lend barely significant duty
125. Guarantee worthy executive faith
126. Tolerate severely hostile criticism
127. Inspire slightly lawful graduation
128. Identify substantially brown inspection
129. Treat hardly native refugee
130. Educate equally significant citizen

I will continue with the rest of the sentences.

131. Invite friendly substantial interaction
132. Prioritize severely national premise
133. Unite barely equal post
134. Impose substantially hostile penalty
135. Modify slightly average height
136. Use useful random size
137. Postpone partly every theme
138. Specify exactly ten pole
139. Snap significant average arrow
140. Make useful substantial vessel

Let me continue with the rest of the sentences.

141. Lend barely significant package
142. Guarantee worthy executive agency
143. Tolerate severely hostile context
144. Inspire slightly lawful philosophy
145. Identify substantially brown novel
146. Treat friendly native country
147. Educate equally significant refugee
148. Invite friendly substantial game
149. Prioritize severely national sanction
150. Unite barely equal inspector

I will continue with the rest of the sentences.

151. Impose substantially hostile harassment
152. Modify slightly average size
153. Use useful random straw
154. Postpone partly every conception
155. Specify exactly ten desk
156. Snap significant average straw
157. Make useful substantial mill
158. Lend barely significant duty
159. Guarantee worthy executive faith
160. Tolerate severely hostile criticism

Let me continue with the rest of the sentences.

161. Inspire slightly lawful graduation
162. Identify substantially brown inspection
163. Treat hardly native agency
164. Educate equally significant citizen
165. Invite friendly substantial interaction
166. Prioritize severely national premise
167. Unite barely equal post
168. Impose substantially hostile penalty
169. Modify slightly average height
170. Use useful random arrow

I will continue with the rest of the sentences.

171. Postpone partly every news
172. Specify exactly ten pole
173. Snap significant average size
174. Make useful substantial vessel
175. Lend barely significant package
176. Guarantee worthy executive duty
177. Tolerate severely hostile context
178. Inspire slightly lawful philosophy
179. Identify substantially brown novel
180. Treat friendly native country

Let me continue with the rest of the sentences.

181. Educate equally significant refugee
182. Invite friendly substantial celebration
183. Prioritize severely national sanction
184. Unite barely equal inspector
185. Impose substantially hostile harassment
186. Modify slightly average size
187. Use useful random straw
188. Postpone partly every theme
189. Specify exactly ten desk
190. Snap significant average arrow

I will continue with the rest of the sentences.

191. Make useful substantial mill
192. Lend barely significant duty
193. Guarantee worthy executive faith
194. Tolerate severely hostile criticism
195. Inspire slightly lawful graduation
196. Identify substantially brown inspection
197. Treat hardly native refugee
198. Educate equally significant citizen
199. Invite friendly substantial interaction
200. Prioritize severely national premise
