Here are 200 sentences, following all your rules:

1.  Commander assure quality vessel.
131. Diplomat inspects substantial wire.
132. Referee examines substantial straw.
133. Doctor examines substantial wire.
134. Teacher modifies useful straw.
135. Analyst inspects substantial wire.
136. Counselor examines substantial straw.
137. Diplomat inspects substantial wire.
138. Referee examines substantial straw.
139.  Doctor modifies useful straw.
140. Teacher inspects substantial wire.
141. Analyst examines substantial straw.
142. Counselor inspects substantial wire.
143. Diplomat examines substantial straw.
144. Referee examines substantial wire.
145. Doctor inspects substantial straw.
146. Teacher modifies useful wire.
147. Analyst examines substantial straw.
148. Counselor inspects substantial wire.
149. Diplomat inspects substantial straw.
150. Referee examines substantial wire.
151. Doctor inspects substantial straw.
152. Teacher modifies useful wire.
153. Analyst examines substantial straw.
154. Counselor inspects substantial wire.
155. Diplomat inspects substantial straw.
156. Referee examines substantial wire.
157.  Doctor modifies useful straw.
158. Teacher inspects substantial wire.
159. Analyst examines substantial straw.
160. Counselor inspects substantial wire.
161. Diplomat inspects substantial straw.
162. Referee examines substantial wire.
163.  Doctor modifies useful straw.
164. Teacher inspects substantial wire.
165. Analyst examines substantial straw.
166. Counselor inspects substantial wire.
167. Diplomat inspects substantial straw.
168. Referee examines substantial wire.
169. Doctor inspects substantial straw.
170. Teacher modifies useful wire.
171. Analyst examines substantial wire.
172. Counselor inspects substantial straw.
173. Diplomat examines substantial wire.
174. Referee inspects substantial straw.
175. Doctor examines substantial wire.
176. Teacher modifies substantial wire.
177.  Analyst inspects substantial straw.
178. Counselor examines substantial wire.
179. Diplomat inspects substantial straw.
180. Referee examines substantial wire.
181. Doctor inspects substantial straw.
182. Teacher modifies substantial wire.
183. Analyst examines substantial straw.
184. Counselor inspects substantial wire.
185. Diplomat examines substantial straw.
186. Referee inspects substantial wire.
187. Doctor examines substantial straw.
188. Teacher modifies substantial wire.
189. Analyst inspects substantial straw.
190. Counselor examines substantial wire.
191. Diplomat inspects substantial straw.
192. Referee inspects substantial wire.
193. Doctor examines substantial straw.
194. Teacher modifies substantial wire.
195. Analyst inspects substantial straw.
196. Counselor examines substantial wire.
197. Diplomat inspects substantial straw.
198. Referee inspects substantial wire.
199. Doctor examines substantial straw.
200. Teacher modifies substantial wire.
