Here are 200 sentences following your rules:

1.  Move  giant  quality  country
141. Relieve  stable  reason  column
142. Inspect  unpredictable  reason  column
143. Move  balanced  reason  column
144. Relieve  imbalanced  reason  column
145. Inspect  smooth  reason  column
146. Move  rough  reason  column
147. Relieve  flat  reason  column
148. Inspect  curved  reason  column
149. Move  straight  reason  column
150. Relieve  angled  reason  column
151. Inspect  parallel  reason  column
152. Move  perpendicular  reason  column
153. Relieve  diagonal  reason  column
154. Inspect  horizontal  reason  column
155. Move  vertical  reason  column
156. Relieve  isometric  reason  column
157. Inspect  proportional  reason  column
158. Move  scale  reason  column
159. Relieve  size  reason  column
160. Inspect  dimension  reason  column
161. Move  shape  reason  column
162. Relieve  form  reason  column
163. Inspect  texture  reason  column
164. Move  color  reason  column
165. Relieve  pattern  reason  column
166. Inspect  gradient  reason  column
167. Move  shade  reason  column
168. Relieve  hue  reason  column
169. Inspect  saturation  reason  column
170. Move  brightness  reason  column
171. Relieve  contrast  reason  column
172. Inspect  reflection  reason  column
173. Move  absorption  reason  column
174. Relieve  transmission  reason  column
175. Inspect  distortion  reason  column
176. Move  amplification  reason  column
177. Relieve  attenuation  reason  column
178. Inspect  reverberation  reason  column
179. Move  resonance  reason  column
180. Relieve  vibration  reason  column
181. Inspect  movement  reason  column
182. Move  energy  reason  column
183. Relieve  matter  reason  column
184. Inspect  space  reason  column
185. Move  time  reason  column
186. Relieve  change  reason  column
187. Inspect  constant  reason  column
188. Move  moment  reason  column
189. Relieve  existence  reason  column
190. Inspect  reality  reason  column
191. Move  perception  reason  column
192. Relieve  truth  reason  column
193. Inspect  deception  reason  column
194. Move  knowledge  reason  column
195. Relieve  ignorance  reason  column
196. Inspect  wisdom  reason  column
197. Move  experience  reason  column
198. Relieve  learning  reason  column
199. Inspect  growth  reason  column
200. Move  success  reason  column
