Here is a numbered list of 200 sentences, each adhering to your specific rules:

1.  Move  giant  brown  car
133. Move  cold  small  bottle
134. Relieve  calm  small  bottle
135. Inspect  quick  small  arrow
136. Lend   sharp  whole  mask
137. Move  cold  small  bottle
138. Relieve  warm  small  bottle
139. Inspect  slow  small  arrow
140. Lend   sharp  whole  mask
141. Move  cold  small  bottle
142. Relieve  warm  small  bottle
143. Inspect  calm  small  arrow
144. Lend   sharp  whole  mask
145. Move  fast  small  bottle
146. Relieve  cold  small  bottle
147. Inspect  slow  small  arrow
148. Lend   sharp  whole  mask
149. Move  warm  small  bottle
150. Relieve  fast  small  bottle
151. Inspect  slow  small  arrow
152. Lend   sharp  whole  mask
153. Move  cold  small  bottle
154. Relieve  fast  small  bottle
155. Inspect  slow  small  arrow
156. Lend   sharp  whole  mask
157. Move  warm  small  bottle
158. Relieve  cold  small  bottle
159. Inspect  fast  small  arrow
160. Lend   sharp  whole  mask
161. Move  warm  small  bottle
162. Relieve  calm  small  bottle
163. Inspect  slow  small  arrow
164. Lend   sharp  whole  mask
165. Move  fast  small  bottle
166. Relieve  calm  small  bottle
167. Inspect  slow  small  arrow
168. Lend   sharp  whole  mask
169. Move  cold  small  bottle
170. Relieve  fast  small  bottle
171. Inspect  slow  small  arrow
172. Lend   sharp  whole  mask
173. Move  warm  small  bottle
174. Relieve  calm  small  bottle
175. Inspect  fast  small  arrow
176. Lend   sharp  whole  mask
177. Move  cold  small  bottle
178. Relieve  calm  small  bottle
179. Inspect  slow  small  arrow
180. Lend   sharp  whole  mask
181. Move  fast  small  bottle
182. Relieve  cold  small  bottle
183. Inspect  calm  small  arrow
184. Lend   sharp  whole  mask
185. Move  warm  small  bottle
186. Relieve  calm  small  bottle
187. Inspect  fast  small  arrow
188. Lend   sharp  whole  mask
189. Move  cold  small  bottle
190. Relieve  calm  small  bottle
191. Inspect  slow  small  arrow
192. Lend   sharp  whole  mask
193. Move  warm  small  bottle
194. Relieve  calm  small  bottle
195. Inspect  slow  small  arrow
196. Lend   sharp  whole  mask
197. Move  cold  small  bottle
198. Relieve  calm  small  bottle
199. Inspect  slow  small  arrow
200. Lend   sharp  whole  mask 

