Here are 200 sentences, each adhering to your strict rules and structure:

1.  Move  dark  ship  ocean
76.  Assume  dark places’ river
77.  Inspect  true’s country’s river
78.  Assume  sweet places’ river
79.  Inspect  light’s country’s river
80.  Assume  sharp river’s place
81.  Inspect  tall country’s place
82.  Assume  wide river’s place
83.  Inspect  sweet leader’s place
84.  Assume  small country’s place
85.  Inspect  large place’s river
86.  Assume  fast leader’s river
87.  Inspect  strong places’ river
88.  Assume  large river’s place
89.  Inspect  fine country’s place
90.  Assume  small leader’s river
91.  Inspect  gray country’s river
92.  Assume  dark places’ river
93.  Inspect  warm leader’s river
94.  Assume  fine country’s river
95.  Inspect  clear places’ river
96.  Assume  large leader’s river 
97.  Inspect  small country’s place
98.  Assume  gray places’ river
99.  Inspect  fine country’s river
100. Assume  tall places’ river
101. Inspect  gray river’s place
102. Assume  sweet places’ river
103. Inspect  large country’s river
104. Assume  small places’ river
105. Inspect  dark leader’s place
106. Assume  fine country’s river 
107. Inspect  large places’ river
108. Assume  gray leader’s river
109. Inspect  small countries’ river
110. Assume  dark places’ place
111. Inspect  gray leader’s river
112. Assume  large countries’ river
113. Inspect  sharp places’ river
114. Assume  dark places’ river
115. Inspect  gray leader’s river
116. Assume  tall places’ river
117. Inspect  gray leader’s river
118. Assume  dark places’ river
119. Inspect  small places’ river
120. Assume  tall leader’s river
121. Inspect  gray places’ river
122. Assume  large countries’ river
123. Inspect  narrow places’ river
124. Assume  sharp places’ river
125. Inspect  gray leader’s river
126. Assume  large places’ river
127. Inspect  small countries’ river
128. Assume  dark places’ river
129. Inspect  gray leader’s river
130. Assume  sharp places’ river
131. Inspect  large countries’ river
132. Assume  dark places’ river
133. Inspect  gray leader’s river
134. Assume  sharp places’ river
135. Inspect  dark countries’ river
136. Assume  small places’ river
137. Inspect  gray leader’s river
138. Assume  large places’ river
139. Inspect  gray leader’s river
140. Assume  tight places’ river
141. Inspect  gray leader’s river
142. Assume  gray places’ river
143. Inspect  narrow river’s place
144. Assume  low places’ river
145. Inspect  gray places’ river
146. Assume  gray places’ river
147. Inspect  gray river’s place
148. Assume  tight places’ river
149. Inspect  gray leader’s river
150. Assume  gray places’ river
151. Inspect  gray river’s place
152. Assume  gray places’ river
153. Inspect  gray leader’s river
154. Assume  gray river’s place
155. Inspect  gray places’ river
156. Assume  gray river’s place
157. Inspect  gray river’s place
158. Assume  gray places’ river
159. Inspect  small places’ river
160. Assume  gray leader’s river
161. Inspect  gray river’s place
162. Assume  gray places’ river
163. Inspect  gray places’ river
164. Assume  gray places’ river
165. Inspect  tight places’ river
166. Assume  gray leader’s river
167. Inspect  gray places’ river
168. Assume  gray river’s place
169. Inspect  gray places’ river
170. Assume  gray places’ river
171. Inspect  gray river’s place
172. Assume  gray leader’s river
173. Inspect  light places’ river
174. Assume  gray places’ river
175. Inspect  gray places’ river
176. Assume  gray leader’s river
177. Inspect  light places’ river
178. Assume  gray leader’s river
179. Inspect  light places’ river
180. Assume  gray places’ river
181. Inspect  light places’ river
182. Assume  gray places’ river
183. Inspect  gray places’ river
184. Assume  gray leader’s river
185. Inspect  gray leader’s river
186. Assume  gray places’ river
187. Inspect  light river’s place
188. Assume  gray places’ river
189. Inspect  gray river’s place
190. Assume  gray places’ river
191. Inspect  small towns’ river
192. Assume  gray rivers’ place
193. Inspect  gray leaders’ river
194. Assume  gray leader’s river
195. Inspect  wide rivers’ place
196. Assume  gray rivers’ place
197. Inspect  tight river’s place
198. Assume  gray places’ river
199. Inspect  narrow river’s place
200. Assume  gray leader’s river
