Okay, here are 200 sentences following your rules, constructed entirely from the provided word list and adhering to the specified structure:

1.  Serve quickly rabbit ocean.
121. Paint calmly tiger stone.
122. Listen deeply window summer.
123. Paint swiftly tiger winter.
124. Listen bravely summer stone.
125. Paint calmly winter table.
126. Listen deeply stone tiger.
127. Paint swiftly winter river.
128. Listen bravely stone summer.
129. Paint calmly tiger window.
130. Listen deeply window stone.
131. Paint swiftly tiger winter.
132. Listen bravely stone summer.
133. Paint calmly table tiger.
134. Listen deeply stone summer.
135. Paint swiftly winter table.
136. Listen bravely stone summer.
137. Paint calmly tiger window.
138. Listen deeply stone window.
139. Paint swiftly winter tiger.
140. Listen bravely stone summer.
141. Paint calmly window stone.
142. Listen deeply summer window.
143. Paint swiftly tiger winter.
144. Listen bravely stone summer.
145. Paint calmly tiger window.
146. Listen deeply stone summer.
147. Paint swiftly tiger winter.
148. Listen bravely stone summer.
149. Paint calmly tiger window.
150. Listen deeply stone summer.
151. Paint swiftly tiger winter.
152. Listen bravely stone summer.
153. Paint calmly stone tiger.
154. Listen deeply winter stone.
155. Paint swiftly tiger summer.
156. Listen bravely stone summer.
157. Paint calmly winter window.
158. Listen deeply summer tiger.
159. Paint swiftly tiger window.
160. Listen bravely stone summer.
161. Paint calmly winter stone.
162. Listen deeply summer tiger.
163. Paint swiftly winter stone.
164. Listen bravely summer stone.
165. Paint calmly window stone.
166. Listen deeply winter tiger.
167. Paint swiftly tiger summer.
168. Listen bravely stone summer.
169. Paint calmly stone window.
170. Listen deeply winter tiger.
171. Paint swiftly tiger window.
172. Listen bravely stone summer.
173. Paint calmly window stone.
174. Listen deeply winter tiger.
175. Paint swiftly stone window.
176. Listen bravely summer tiger.
177. Paint calmly stone window.
178. Listen deeply winter stone.
179. Paint swiftly tiger window.
180. Listen bravely summer stone.
181. Paint calmly window stone.
182. Listen deeply winter tiger.
183. Paint swiftly stone window.
184. Listen deeply summer tiger.
185. Paint calmly stone window.
186. Listen deeply winter stone.
187. Paint swiftly tiger window.
188. Listen bravely stone summer.
189. Paint calmly stone window.
190. Listen deeply winter tiger.
191. Paint swiftly stone window.
192. Listen bravely stone summer.
193. Paint calmly tiger window.
194. Listen deeply winter stone.
195. Paint swiftly tiger window.
196. Listen deeply stone summer.
197. Paint calmly window stone.
198. Listen deeply winter tiger.
199. Paint swiftly tiger window.
200. Listen deeply stone summer.
