1. Observe  pretty  bowls  case
140. Confirm  strict  penalty  line
141. Move  fast  arrow  cable
142. Observe  pleasant  habitat  area
143. Confirm  strict  penalty  line
144. Observe  pleasant  habitat  area
145. Confirm  strict  penalty  line
146. Move  fast  arrow  cable
147. Observe  pleasant  habitat  area
148. Confirm  strict  penalty  line
149. Observe  pleasant  habitat  area
150. Confirm  strict  penalty  line
151. Move  fast  arrow  cable
152. Observe  pleasant  habitat  area
153. Confirm  strict  penalty  line
154. Observe  pleasant  habitat  area
155. Confirm  strict  penalty  line
156. Donate  cheap  dinner  bowl
157. Observe  pleasant  habitat  area
158. Confirm  strict  penalty  line
159. Observe  pleasant  habitat  area
160. Confirm  strict  penalty  line
161. Observe  pleasant  habitat  area
162. Confirm  strict  penalty  line
163. Move  fast  arrow  cable
164. Observe  pleasant  habitat  area
165. Confirm  strict  penalty  line
166. Observe  pleasant  habitat  area
167. Confirm  strict  penalty  line
168. Observe  pleasant  habitat  area
169. Confirm  strict  penalty  line
170. Observe  pleasant  habitat  area
171. Confirm  strict  penalty  line
172. Observe  pleasant  habitat  area
173. Confirm  strict  penalty  line
174. Move  fast  arrow  cable
175. Observe  pleasant  habitat  area
176. Confirm  strict  penalty  line
177. Observe  pleasant  habitat  area
178. Confirm  strict  penalty  line
179. Move  fast  arrow  cable
180. Observe  pleasant  habitat  area
181. Confirm  strict  penalty  line
182. Observe  pleasant  habitat  area
183. Confirm  strict  penalty  line
184. Observe  pleasant  habitat  area
185. Confirm  strict  penalty  line
186. Observe  pleasant  habitat  area
187. Confirm  strict  penalty  line
188. Observe  pleasant  habitat  area
189. Confirm  strict  penalty  line
190. Observe  pleasant  habitat  area
191. Confirm  strict  penalty  line
192. Observe  pleasant  habitat  area
193. Confirm  strict  penalty  line
194. Observe  pleasant  habitat  area
195. Confirm  strict  penalty  line
196. Observe  pleasant  habitat  area
197. Confirm  strict  penalty  line
198. Observe  pleasant  habitat  area
199. Confirm  strict  penalty  line
200. Observe  pleasant  habitat  area
